LGU_clean,election_year,incumbent_name,dynasty,incumbent_terms,ira_share,local_rev_mn,enc_gol,income_class,region,health_mn_pre3,health_mn_post3,educ_mn_pre3,educ_mn_post3,pubwelf_mn_pre3,pubwelf_mn_post3,socserv_mn_pre3,socserv_mn_post3,econdev_mn_pre3,econdev_mn_post3,labor_mn_pre3,labor_mn_post3,housing_mn_pre3,housing_mn_post3,gov_mn_pre3,gov_mn_post3,totexp_mn_pre3,totexp_mn_post3
SAPIAN,2004,,1,0,0.9184976669553806,2.11909,,3,WESTERN VISAYAS,2.6785496233333332,3.2088466666666666,0.23940796666666664,0.3793066666666667,13.899111363333333,13.42251,0.5835177133333334,0.7144266666666667,1.84208177,2.1954533333333335,0.0,0.0,1.1610640566666668,0.07584666666666667,11.319160046666667,14.606609999999998,27.060353180000003,30.224573333333336
SAPIAN,2007,,1,0,0.8681462312610535,1.91328,,3,WESTERN VISAYAS,2.8793466666666667,4.42963476,0.35374999999999995,0.4595543933333333,17.15366666666667,6.555941013333334,0.6665466666666667,0.9843528099999999,2.1271366666666665,3.8166059366666665,0.0,0.0,0.13628333333333334,0.68239905,13.11774,32.76026041,32.39854333333333,43.132807359999994
SAPIAN,2010,,1,0,0.953456788819776,2.087834604,,3,WESTERN VISAYAS,4.185931376666667,4.378705840000001,0.35158721333333337,0.5002460833333333,5.588501536666667,6.574019869999998,0.9061375633333334,1.01966618,2.7137597299999996,2.683893896666667,0.0,0.0,0.14484538333333333,0.6754017666666666,28.11832902,37.82154218,36.420590286666666,47.07945594666668
SAPIAN,2013,,1,0,0.9418861680492524,3.103535211,,3,WESTERN VISAYAS,4.3462911,4.807831026666666,0.6185427699999999,0.7526560766666667,6.99164523,6.8523243066666675,1.01100426,1.2918372033333334,3.5118305166666666,3.035086326666667,0.0,0.0,1.0158071,0.0,35.39488050333333,46.061109316666666,45.89835625,55.94851995
SAPIAN,2016,,1,0,0.9562596972070541,3.26025416,,3,WESTERN VISAYAS,4.565954240000001,6.0926541599999995,0.60647813,0.8438555366666667,6.585297000000001,8.500044009999998,1.1866362966666666,1.5635343133333333,3.03395125,3.642624083333333,0.0,0.0,0.22622833333333334,0.0,43.640449880000006,70.80720771666667,53.259698130000004,82.94987581
SAPIAN,2019,,1,0,0.9386254018027058,6.053489519999999,,3,WESTERN VISAYAS,5.611534033333334,12.059845376666667,0.8322905500000001,0.3018204566666667,7.896451933333334,23.524738876666664,1.45262735,11.163073043333334,3.4549720033333333,21.48958454,0.0,0.0,0.0,0.0,59.89655603,104.80048329333334,71.24797996666666,149.81480671
SAPIAN,2022,,1,0,0.9380068921384629,21.46505975,,3,WESTERN VISAYAS,7.283847689999999,,0.43882633666666665,,9.420754803333333,,1.6980807766666668,,5.24959196,,0.0,,0.0,,83.99944995333334,,98.66979671666667,
SAPSAPA,1992,,1,0,0.9560298117541987,0.110478,,3,ZAMBOANGA PENINSULA,,,,,,0.0,,,,0.0,,,,,,3.417154,,3.417154
SARA,1992,,1,0,0.5049507095634409,1.784214,,3,WESTERN VISAYAS,,,,,,3.663598,,,,1.8763933333333334,,,,,,5.421390666666667,,10.961382
SARA,1995,,1,0,0.8137047088373521,2.938523,,3,WESTERN VISAYAS,,,,,2.2196,7.714762,,,1.1213236666666668,2.2471876666666666,,,,,4.553499333333334,8.504749333333335,7.894423000000001,18.466699000000002
SARA,1998,,1,0,0.7971532985921702,4.782055,,3,WESTERN VISAYAS,,3.19589,,0.43201,6.725107333333334,12.541953156666667,,1.15127,2.141456,5.409811413333334,,0.0,,0.0,6.969217,18.639151206666668,15.835780333333334,36.59091577666667
