LGU_clean,election_year,incumbent_name,dynasty,health_post3,educ_post3,pubwelf_post3,health_pre,educ_pre,pubwelf_pre,ira_share,local_rev_pc,enc_gol,income_class,region,matched_control_lgu,matched_control_year
BATAAN,2007.0,"GARCIA, ENRIQUE JR. TUASON",1,16.266586462656658,87.24161529541016,68.1312993367513,57.19440714518229,117.07158660888672,335.5900370279948,0.3457219302654266,294.6916198730469,1.677778244018555,3,Central Luzon,BATAAN,2004.0
BATAAN,2010.0,"GARCIA, ENRIQUE, JR. TUASON",1,26.338090896606445,89.4612325032552,84.01802841822307,9.799426714579264,102.03455352783205,126.20928955078124,0.517661452293396,457.1672668457031,1.6286417245864868,3,Central Luzon,BATAAN,2004.0
BATAAN,2013.0,"GARCIA, ALBERT RAYMOND ",1,273.5453643798828,106.24934514363606,175.20604960123697,25.02516365051269,83.2758280436198,116.49930063883464,0.519317090511322,532.7914428710938,1.34071946144104,3,Central Luzon,ZAMBALES,2019.0
BATAAN,2016.0,"GARCIA, ALBERT RAYMOND SANDEJAS",1,158.55209350585938,146.91090774536133,327.1472574869792,248.58760515848795,111.90539677937824,113.4275844891866,0.5070974826812744,851.2210693359375,1.0,3,Central Luzon,BULACAN,2010.0
BATAAN,2019.0,"GARCIA, ALBERT RAYMOND SANDEJAS",1,212.2655029296875,108.63800048828124,567.9385986328125,124.40055592854816,112.77771377563477,257.16254170735675,0.3986436426639557,1652.135498046875,1.3886325359344482,3,Central Luzon,BULACAN,2019.0
BATANES,1995.0,"CASTILLEJOS, TELESFORO FALCES",1,0.0,0.0,26.41177050272624,0.0,0.0,8.523061007261276,0.8897088170051575,5.8630690574646,1.905493259429932,3,Cagayan Valley,CAGAYAN,2001.0
BATANES,2001.0,"GATO, VICENTE DE SAGON",1,17.321666717529297,0.57000000278155,65.10299936930339,0.0,0.0,26.36351585388184,0.9672099947929382,3.3580000400543213,1.949558973312378,3,Cagayan Valley,CAGAYAN,2001.0
BATANES,2004.0,"GATO, VICENTE DE SAGON",1,21.54800033569336,0.5613333433866501,83.04433186848958,17.01799964904785,0.7476666669050852,63.84266662597656,0.9589953422546388,4.978000164031982,1.6616557836532593,3,Cagayan Valley,QUIRINO,2007.0
BATANES,2013.0,"GATO, VICENTE DE SAGON",1,106.28266461690266,8.111177563667297,52.7680778503418,23.449500401814777,0.8581277628739675,28.730846405029297,0.9235260486602784,19.964967727661133,2.3492116928100586,3,Cagayan Valley,BATANES,2010.0
BATANES,2019.0,"CAYCO, MARILOU HORLINA",1,28.83603486418724,0.4560988744099934,78.78554280598958,33.062788009643555,1.002518614133199,61.03679275512695,0.96037358045578,18.171066284179688,1.6165478229522705,3,Cagayan Valley,QUIRINO,2007.0
BATANGAS,2001.0,"MANDANAS, HERMILANDO I.",1,164.27754974365234,99.14569600423177,565.3268636067709,0.0,0.0,269.2224985758464,0.6423088908195496,279.5469970703125,1.1505978107452393,3,CALABARZON,BATANGAS,1998.0
BATANGAS,2010.0,"RECTO, ROSA VILMA SANTOS",1,408.8904724121094,81.11052958170573,581.8906707763672,285.4041748046875,156.32039388020834,562.5201619466146,0.6321091055870056,772.7985229492188,1.6956557035446167,3,CALABARZON,BATANGAS,2007.0
BATANGAS,2013.0,"RECTO, ROSA VILMA SANTOS",1,427.1786804199219,63.50621795654297,783.1318969726562,373.70311482747394,75.13028081258138,776.2842000325521,0.648764431476593,831.0682373046875,1.0703121423721311,3,CALABARZON,BATANGAS,2007.0
BATANGAS,2019.0,"MANDANAS, HERMILANDO INGCO",1,626.0080224672953,46.603820795814194,1532.3766682942708,540.5078633626302,39.01428731282552,912.2435913085938,0.677118182182312,1422.26220703125,1.0358834266662598,3,CALABARZON,CAVITE,2010.0
BENGUET,2001.0,"MOLINTAS, RAUL M.",1,83.23716481526692,11.26010545094808,181.19987996419272,0.0,0.0,93.26521809895831,0.8088303208351135,51.00743103027344,1.904269814491272,3,CAR,KALINGA,1998.0
BENGUET,2010.0,"FONGWAN, NESTOR BAGTANG",1,84.0240961710612,17.782172838846844,76.27222696940105,45.861376444498696,17.339271545410156,78.79329427083333,0.7403435111045837,156.302978515625,1.791269302368164,3,CAR,ABRA,2007.0
BENGUET,2013.0,"FONGWAN, NESTOR BAGTANG",1,120.4716084798177,13.357915878295898,129.0721435546875,72.01458104451497,16.27084191640218,98.9310073852539,0.6703517436981201,246.29367065429688,1.3541440963745115,3,CAR,BENGUET,2019.0
BILIRAN,2004.0,"ESPINA, ROGELIO JIMENEZ",1,31.145047505696613,1.66762908299764,86.48608907063802,20.221999486287437,1.6094553073247273,108.03419494628906,0.9203685522079468,13.767322540283203,1.3806263208389282,3,Eastern Visayas,NORTHERN SAMAR,2001.0
BILIRAN,2007.0,"ESPINA, ROGELIO JIMENEZ",1,72.36320241292317,3.151885191599528,73.91085561116536,29.62415313720703,1.4200756152470906,80.01588185628255,0.9220068454742432,17.150312423706055,1.4619499444961548,3,Eastern Visayas,SOUTHERN LEYTE,2007.0
BILIRAN,2010.0,"ESPINA, GERARDO, JR. JIMENEZ",1,97.0820032755534,2.560573856035868,76.62714703877766,53.57873789469401,2.229383548100789,69.9136454264323,0.8884276151657104,25.735002517700195,2.639082193374634,3,Eastern Visayas,BILIRAN,2001.0
BILIRAN,2013.0,"ESPINA, GERARDO JR. JIMENEZ",1,156.64312744140625,2.9123337666193643,139.71721903483072,96.63294728597003,3.5313562552134194,109.8924560546875,0.9210714101791382,28.010757446289062,1.5919514894485474,3,Eastern Visayas,NORTHERN SAMAR,2013.0
